8号线站点间距

站点名称	间距（KM）

金潭路—宏图大道	0.855
宏图大道—塔子湖	1.89
塔子湖—中一路	1.648
中一路—竹叶山	1.574
竹叶山—赵家条	1.394
赵家条—黄浦路	1.419
黄浦路—徐家棚	3.494
徐家棚—徐东	0.992
徐东—汪家墩	0.747
汪家墩—岳家嘴	1.318
岳家嘴—梨园	0.873
梨园—省博湖北日报	1.881
省博湖北日报—中南医院	1.326
中南医院—水果湖	1.239
水果湖—洪山路	0.758
洪山路—小洪山	1.812
小洪山—街道口	1.307
街道口—马房山	1.172
马房山—文治街	1.7
文治街—文昌路	1.952
文昌路—省农科院	1.686
省农科院—马湖	1.1
马湖—野芷湖	1.228
野芷湖—黄家湖地铁小镇	3.748
黄家湖地铁小镇—军运村	1.084
