7号线站点间距

站点名称	间距（KM）

横店—裕福路	2.336
裕福路—天阳大道	2.38
天阳大道—腾龙大道	4.479
腾龙大道—巨龙大道	1.809
巨龙大道—汤云海	2.524
汤云海—马池	5.154
马池—园博园北	2.208
园博园北—园博园	2.137
园博园—常码头	1.885
常码头—武汉商务区	1.586
武汉商务区—王家墩东	1.482
王家墩东—取水楼	1.164
取水楼—香港路	1.458
香港路—三阳路	1.846
三阳路—徐家棚	3.502
徐家棚—湖北大学	1.591
湖北大学—新河街	2.067
新河街—螃蟹岬	1.141
螃蟹岬—小东门	0.859
小东门—武昌火车站	1.374
武昌火车站—瑞安街	1.86
瑞安街—建安街	1.383
建安街—湖工大	2.294
湖工大—板桥	1.067
板桥—野芷湖	1.717
野芷湖—新路村	2.391
新路村—大花岭	3.438
大花岭—江夏客厅	2.507
江夏客厅—谭鑫培公园	2
谭鑫培公园—北华街	1.61
北华街—纸坊大街	1.361
纸坊大街—青龙山地铁小镇	3.243
