3号线站点间距

站点名称	间距（KM）

沌阳大道---东风公司	1.449
东风公司---体育中心	0.842
体育中心---三角湖	1.454
三角湖---汉阳客运	1.563
汉阳客运---四新大道	0.928
四新大道---陶家岭	1.359
陶家岭---龙阳村	0.906
龙阳村---王家湾	1.107
王家湾---宗关	2.531
宗关---双墩	0.982
双墩---武汉商务区	1.825
武汉商务区---云飞路	1.227
云飞路---范湖	0.885
范湖---菱角湖	1.676
菱角湖---香港路	0.932
香港路---惠济二路	0.934
惠济二路---赵家条	0.896
赵家条---罗家庄	0.882
罗家庄---二七小路	0.759
二七小路---兴业路	1.253
兴业路---后湖大道	1.181
后湖大道---市民之家	1.667
市民之家---宏图大道	2.422
