4号线站点间距

站点名称	间距（KM）

黄金口---孟家铺	2.762
孟家铺---永安堂	1.479
永安堂---玉龙路	1.243
玉龙路---王家湾	0.901
王家湾---十里铺	0.950
十里铺---七里庙	1.204
七里庙---五里墩	1.124
五里墩---汉阳火车站	1.012
汉阳火车站---钟家村	1.574
钟家村---拦江路	0.834
拦江路---复兴路	3.278
复兴路---首义路	0.718
首义路---武昌火车站	0.897
武昌火车站---梅苑小区	0.900
梅苑小区---中南路	1.095
中南路---洪山广场	0.966
洪山广场---楚河汉街	1.077
楚河汉街---青鱼嘴	1.226
青鱼嘴---东亭	1.048
东亭---岳家嘴	0.928
岳家嘴---铁机路	1.032
铁机路---罗家港	1.171
罗家港---园林路	1.036
园林路---仁和路	1.333
仁和路---工业四路	1.634
工业四路---杨春湖	1.173
杨春湖---武汉火车站	0.810
