6号线站点间距

站点名称	间距（KM）

东风公司---车城东路	1.297
车城东路---江城大道	2.279
江城大道---老关村	2.805
老关村---国博中心南	1.826
国博中心南---国博中心北	0.756
国博中心北---前进村	1.525
前进村---建港	0.953
建港---马鹦路	1.478
马鹦路---钟家村	1.282
钟家村---琴台	0.933
琴台---武胜路	1.857
武胜路---汉正街	0.762
汉正街---六渡桥	0.977
六渡桥---江汉路	0.851
江汉路---大智路	1.553
大智路---苗栗路	0.804
苗栗路---香港路	0.864
香港路---三眼桥	1.024
三眼桥---唐家墩	0.953
唐家墩---石桥	1.477
石桥---杨汊湖	0.844
杨汊湖---常青花园	2.110
常青花园---轻工大学	0.961
轻工大学---园博园北	1.202
园博园北---金银湖	1.748
金银湖---金银湖公园	2.391
